用户,一级,二级,三级,内容描述
小程序端,服务大厅,导航,全部服务,汇聚抄表、换表、产品确认、定额对标、计划申请等多类服务入口；公共供水与自备水菜单按规则差异化展示。
小程序端,办事进度,我的申请,申请列表与筛选,用水户查看本人提交的各类申请（定额对标、计划申请、新增产品等）；支持按时间、业务类型、办理状态筛选。
小程序端,办事进度,审批协同,审批记录查阅,用水户查阅管理部门审批意见与历史节点（与后台审批流对接后在实施阶段贯通）。
小程序端,自备水专项,计量运维,现场抄表,自备水用户现场抄表数据上报与核对能力（与计量设备或抄表流程对接在实施阶段开发）。
小程序端,自备水专项,计量运维,换表管理,自备水用户换表登记与进度跟踪（与资产与工单系统对接在实施阶段开发）。
小程序端,扩展业务,计划与总结,计划申请,计划用水在线申请入口及表单能力（字段、附件与审批对接在实施阶段按监管口径配置）。
小程序端,扩展业务,计划与总结,计划调整,已下达计划的变更申请入口（流程与权限在实施阶段配置）。
小程序端,扩展业务,计划与总结,用水总结,年度或阶段性用水总结填报与分析展示（报表模板在实施阶段确定）。
小程序端,扩展业务,产品与名录,产品确认,企业对备案产品信息进行核对确认（与产品库同步规则在实施阶段定义）。
小程序端,扩展业务,产品与名录,产品申请,名录外产品单独申请入口（与后台审核、定额库联动在实施阶段配置）。
PC端,系统入口,登录,管理端登录,管理人员安全登录后台；支持会话控制与权限扩展（与统一身份对接在实施阶段集成）。
PC端,工作台,首页,监管总览,管理人员首页总览关键指标与待办入口（指标口径可按监管需求配置）。
PC端,基础档案,主体管理,企业信息管理,维护辖区用水户档案：基本信息、分类标签、联系方式等；支持与小程序建档数据同步与比对。
PC端,基础档案,许可与计量,取水许可证管理,取水许可证台账登记、有效期预警与证照附件管理（字段与预警规则在实施阶段细化）。
PC端,基础档案,计量设施,计量设施台账,计量点、设施型号、检定周期等信息登记与维护，支撑抄表与稽查。
PC端,基础档案,计量运维,换表记录,换表前后表码、原因、责任人等记录查询与统计。
PC端,基础档案,名录库,用水定额产品库,维护国家或地方定额对应的产品名录；支持名录版本与生效时间管理；审批通过的新增产品自动纳入可选范围并与小程序联动。
PC端,基础档案,名录库,企业产品库,沉淀各用水户实际备案产品清单，服务定额对标核查与统计。
PC端,基础档案,工艺资料,工艺信息管理,汇集用水户上传的工艺说明及附件，按产品与用水户归档，供定额调查与抽查使用。
PC端,监管视图,一张图,空间分布,在地图上展示重点用水户、水源或计量点等监管要素（图层与数据接口在实施阶段对接）。
PC端,抄表计费,抄表业务,抄表数据管理,抄表计划、抄表数据录入与修正、抄表质量核查（与现场移动端或物联网表计对接在实施阶段定义）。
PC端,抄表计费,抄表业务,抄表审核,抄表结果多级审核与放行，保障计费依据准确。
PC端,抄表计费,自备水,年度自备水抄表档案,自备水用户年度抄表记录归档与查询导出。
PC端,抄表计费,费用,缴费管理,账单生成、缴费登记、欠费查询与统计（与财务或政务缴费渠道对接在实施阶段集成）。
PC端,抄表计费,费用,缴费审核,减免、退费及异常缴费业务的审核留痕。
PC端,定额监管,审核,新增产品审核,审核用水户在小程序提交的名录外新增产品申请；通过后写入定额产品库并通知用水户可选用。
PC端,定额监管,预警,超定额预警,将用水户实际用水与定额标准比对，生成超定额预警清单；支持分级预警展示与处置跟踪（预警阈值在实施阶段配置）。
PC端,定额监管,数据分析,填报数据汇总,汇总用水户定额对标填报的分产品产量、分项水量与产品单耗，支撑辖区定额执行监测（统计口径在实施阶段确定）。
PC端,计划管理,年度计划,年终计划与可视化,年度计划核定结果、执行进度及可视化展示（图表与时间维度在实施阶段按报表需求配置）。
PC端,计划管理,核定辅助,智能核定辅助,依据计划用水核定规则或模型辅助生成核定建议值，减少人工录入（规则与审批仍以管理部门确认为准）。
PC端,计划管理,业务闭环,计划申请与审核,管理部门接收用水户计划申请、下发通知并组织审核；与小程序申请端共同形成闭环（流程引擎在实施阶段配置）。
